Group	Authors	Title	Practical	Article/Google	Email Sent	Email Reply	Build Results	Database Entry	Build Notes
TACO'9	Fabien Coelho, Francois Irigoin	API compilation for image hardware accelerators	Practical	Link from google	Not sent	-	Build fails	data/taco9_CoelhoI13_data.txt	data/taco9_CoelhoI13_build.txt
TACO'9	Bart Coppens, Bjorn De Sutter, Hibas Maebe	Feedback-driven binary code diversification	Practical	-	Email sent	Replied no	-	data/taco9_CoppensSM13_data.txt	-
TACO'9	Lieven Eeckhout, Kenzo Van Craeynest	Understanding fundamental design choices in single-ISA heterogeneous multicore architectures	Theoretical	-	-	-	-	data/taco9_CraeynestE13_data.txt	-
TACO'9	Yan Cui, Yingxin Wang, Yu Chen, Yuanchun Shi	Lock-contention-aware scheduler: A scalable and energy-efficient method for addressing scalability collapse on multicore systems	Practical	-	Email sent	Replied yes	Builds	data/taco9_CuiWCS13_data.txt	data/taco9_CuiWCS13_build.txt
TACO'9	Jingling Xue, Huimin Cui, Lei Wang, Yang Yang, Xiaobing Feng, Dongrui Fan	Extendable pattern-oriented optimization directives	Practical	-	Email sent	Replied no	-	data/taco9_CuiXWYFF12_data.txt	-
TACO'9	Huimin Cui, Qing Li, Jingling Xue, Xiaobing Feng	Layout-oblivious compiler optimization for matrix computations	Practical	-	Email sent	Replied yes	Build fails	data/taco9_CuiYXF13_data.txt	data/taco9_CuiYXF13_build.txt
TACO'9	Boubacar Diouf, Can Hantas, Albert Cohen, Ozcan Ozturk, Jens Palsberg	A decoupled local memory allocator	Practical	-	Email sent	Replied no	-	data/taco9_DioufHCOP13_data.txt	-
TACO'9	Servesh Muralidharan, Stephen Golan, David Gregg	Compiler support for lightweight context switching	Practical	Link from google	Not sent	-	Build fails	data/taco9_DolanMG13_data.txt	data/taco9_DolanMG13_build.txt
TACO'9	Yu Du, Miao Zhou, Bruce Childers, Rami Melhem, Daniel Mosse	Delta-compressed caching for overcoming the write bandwidth limitation of hybrid main memory	Hardware	-	-	-	-	data/taco9_DuZCMM13_data.txt	-
TACO'9	Stijn Eyerman, Lieven Eeckhout	Probabilistic modeling for job symbiosis scheduling on SMT processors	Practical	-	Email sent	Replied no	-	data/taco9_EyermanE12_data.txt	-
TACO'9	Jeremy Fowers, Greg Brown, John Wernsing, Greg Stitt	A performance and energy comparison of convolution on GPUs,FPGAs, and multicore processors	Theoretical	-	-	-	-	data/taco9_FowersBWS13_data.txt	-
TACO'9	James R. Geraci, Sharon M. Sacco	A transpose-free in-place SIMD optimized FFT	Hardware	-	-	-	-	data/taco9_GeraciS12_data.txt	-
TACO'9	Marco E.T. Gerards, Jan Kuper	Optimal DPM and DVFS for frame-based real-time systems	Theoretical	-	-	-	-	data/taco9_GerardsK13_data.txt	-
TACO'9	Walid J. Ghandour, Haitham Akkary, Wes Masri	Leveraging Strength-Based Dynamic Information Flow Analysis to Enhance Data Value Prediction	Practical	-	Not sent	-	-	data/taco9_GhandourAM12_data.txt	-
TACO'9	Apala Guha, Kin Hazelwood, Mary Lou Soffa	Memory optimization of dynamic binary translators for embedded systems	Hardware	-	-	-	-	data/taco9_GuhaHS12_data.txt	-
TACO'9	Choonki Jang, Jaejin Lee, Bernhard Egger, Soojung Ryu	Automatic code overlay generation and partially redundant code fetch elimination	Hardware	-	-	-	-	data/taco9_JangLER12_data.txt	-
TACO'9	Malik Khan, Protonu Basu, Gabe Rudy, Mary Hall, Chun Chen, Jacqueline Chame	A script-based autotuning compiler system to generate high-performance CUDA code	Hardware	-	-	-	-	data/taco9_KhanBRHCC13_data.txt	-
TACO'9	Andreas Lanks, Thomas Wild, Stefan Wallentowitz, Andreas Herkersdorf	Benefits of selective packet discard in networks-on-chip	Hardware	-	-	-	-	data/taco9_LankesWWH12_data.txt	-
TACO'9	Jongwon Lee, Yohan Ko, Kyoungwoo Lee, Jonghee M. Youn, Yunheung Peak	Dynamic code duplication with vulnerability awareness for soft error detection on VLIW architectures	Practical	-	Email sent	Replied no	-	data/taco9_LeeKLYP13_data.txt	-
TACO'9	Hyesoon Kim, Jaekyu Lee, Richard Vuduc	When Prefetching Works, When It Doesn't, and Why	Theoretical	-	-	-	-	data/taco9_LeeKV12_data.txt	-
TACO'9	Adam Wave Lewis, NianFeng Tzeng, Soumik Ghosh	Runtime energy consumption estimation for server workloads based on chaotic time-series approximation	Practical	-	Email sent	No response	-	data/taco9_LewisTG12_data.txt	-
TACO'9	Yong Li, Rami Melhem, Alex K. Jones	PS-TLB: Leveraging page classification information for fast,scalable and efficient translation for future CMPs	Hardware	-	-	-	-	data/taco9_LiMJ13_data.txt	-
TACO'9	Bin Li, Li Shiuan Peh, Li Zhao, Ravi Iyer	Dynamic QoS management for chip multiprocessors	Practical	-	Email sent	Replied no	-	data/taco9_LiPZI12_data.txt	-
TACO'9	Yangchun Luo, Antonia Zhai	Dynamically dispatching speculative threads to improve sequential execution	Hardware	-	-	-	-	data/taco9_LuoZ12_data.txt	-
TACO'9	Carlos Luque, Miquel Moreto, Francisco J. Cazorla, Mateo Valero	Fair CPU time accounting in CMP{\&}plus;SMT processors	Hardware	-	-	-	-	data/taco9_LuqueMCV13_data.txt	-
TACO'9	Thibaut Lutz, Christian Fensch, Murray Cole	PARTANS: An autotuning framework for stencil computation on multi-GPU systems	Hardware	-	-	-	-	data/taco9_LutzFC13_data.txt	-
TACO'9	Abhinandan Majumdar, Shihari Cadambi, Michela Becchi, Srimat T. Chakradhar, Hans Peter graf	A Massively Parallel, Energy Efficient Programmable Accelerator for Learning and Classification	Practical	-	Email sent	Replied no	-	data/taco9_MajumdarCBCG12_data.txt	-
TACO'9	Pavlos M. Mattheakis, Ioannis Papaefstathiou	Significantly reducing MPI intercommunication latency and power overhead in both embedded and HPC systems	Hardware	-	-	-	-	data/taco9_MattheakisP13_data.txt	-
TACO'9	Bita Mazloom, Shashidhar Mysore, Mohit Tiwari, Banit Agrawal, Tim Sherwood	Dataflow Tomography: Information Flow Tracking For Understanding and Visualizing Full Systems	Practical	-	Email sent	Replied yes	Builds	data/taco9_MazloomMTAS12_data.txt	data/taco9_MazloomMTAS12_build.txt
TACO'9	Anurag Negi, Ruben Titos-Gil	SCIN-cache: Fast speculative versioning in multithreaded cores	Hardware	-	-	-	-	data/taco9_NegiG13_data.txt	-
TACO'9	Cedric Nugteren, Pieter Custers, Henk Corporal	Algorithmic species: A classification of affine loop nests for parallel programming	Practical	Link from paper	Not sent	-	Builds	data/taco9_NugterenCC13_data.txt	data/taco9_NugterenCC13_build.txt
TACO'9	Antoniu Pop, Albert Cohen	OpenStream: Expressiveness and data-flow compilation of OpenMP streaming programs	Practical	Link from paper	Not sent	-	Build fails	data/taco9_PopC13_data.txt	data/taco9_PopC13_build.txt
TACO'9	Suresh Purini, Lakshya Jain	Finding good optimization sequences covering program space	Practical	-	Email sent	Replied no	-	data/taco9_PuriniJ13_data.txt	-
TACO'9	Kishore Kumar Pusukuri, Rajix Gupta, Laxmi N. Bhuyan	ADAPT: A framework for coscheduling multithreaded programs	Practical	Link from paper	Not sent	-	Build fails	data/taco9_PusukuriGB13_data.txt	data/taco9_PusukuriGB13_build.txt
TACO'9	David Yuste, Erven Rohou, Kevin Williams	Vectorization technology to improve interpreter performance	Practical	-	Email sent	Replied yes	Builds	data/taco9_RohouWY13_data.txt	data/taco9_RohouWY13_build.txt
TACO'9	Vincent Loechner, Rachid Seghir, Benoit Meister	Integer affine transformations of parametric ;-polytopes and applications to loop nest optimization	Practical	Link from paper	Not sent	-	Build fails	data/taco9_SeghirLM12_data.txt	data/taco9_SeghirLM12_build.txt
TACO'9	Mageda Sharafeddine, Komal Jothi, Haitham Akkary	Disjoint out-of-order execution processor	Practical	-	Email sent	Replied no	-	data/taco9_SharafeddineJA12_data.txt	-
TACO'9	Michele Tartara, Stefano Crespi Reghizzi	Continuous learning of compiler heuristics	Practical	Link from google	Not sent	-	Builds	data/taco9_TartaraC13_data.txt	data/taco9_TartaraC13_build.txt
TACO'9	Alejandro Valero, Julio Sahuquillo, Salvador Petit, Pedro Lopez, Jose Duato	Combining recency of information with selective random and a victim cache in last-level caches	Hardware	-	-	-	-	data/taco9_ValeroSPLD12_data.txt	-
TACO'9	Juan Carlos Juega, Sven Verdoolaege, Albert Cohen, Jose Ignacio Gomez, Christian Tenllado, Francky Catthoor	Polyhedral parallel code generation for CUDA	Practical	Link from paper	Not sent	-	Build fails	data/taco9_VerdoolaegeJCGTC13_data.txt	data/taco9_VerdoolaegeJCGTC13_build.txt
TACO'9	Christian Wimmer, Michael Haupt, Michael L. VanDeVanter, Mick Jordan, Laurent Daynes, Douglas Simon	Maxine: An approachable virtual machine for, and in, java	Practical	Link from paper	Not sent	-	Builds	data/taco9_WimmerHVJDS13_data.txt	data/taco9_WimmerHVJDS13_build.txt
TACO'9	Polychronis Xekalakis, Nikolas Ioannou, Marcelo Cintra	Mixed speculative multithreaded execution models	Practical	-	Email sent	Replied no	-	data/taco9_XekalakisIC12_data.txt	-
TACO'9	Chunhua Xiao, MC Frank Chang, Jaon Cong, Michael Gill, Zhangqin Huang, Chunyue Liu, Glenn Reinman, Hao Wu	Stream arbitration: Towards efficient bandwidth utilization for emerging on-chip interconnects	Hardware	-	-	-	-	data/taco9_XiaoCCGHLRW13_data.txt	-
TACO'9	Li Wang, Xuejun Yang, Jingling Xue, Qingbo Wu	Comparability Graph Coloring for Optimizing Utilization of Software-Managed Stream Register Files for Stream Processors	Practical	-	Email sent	No response	-	data/taco9_YangWXW12_data.txt	-
TACO'9	Yi Yang, Ping Xiang, Jingfei Kong, Mike Mantor, Huiyang Zhou	A unified optimizing compiler framework for different GPGPU architectures	Practical	Link from paper	Not sent	-	Builds	data/taco9_YangXKMZ12_data.txt	data/taco9_YangXKMZ12_build.txt
TACO'9	Zhichao Yan, Hong Jiang, Yujuan Tan, Dan Feng	An integrated pseudo-associativity and relaxed-order approach to hardware transactional memory	Practical	-	Email sent	No response	-	data/taco9_YanJTF13_data.txt	-
TACO'9	Paraskevas Yiapanis, Demian RosasHam, Gavin Brown, Mikel Lujan	Optimizing software runtime systems for speculative parallelization	Practical	-	Email sent	Replied no	-	data/taco9_YiapanisRBL13_data.txt	-
TODS'37	Victor Vianu, Serge Abiteboul, Pierre Bourhis	Comparing workflow specification languages: A matter of views	Theoretical	-	-	-	-	data/tods37_AbiteboulBV12_data.txt	-
TODS'37	Daniel Deutch, Yael Amsterdamer, Tova Milo, Val Tannen	On Provenance Minimization	Theoretical	-	-	-	-	data/tods37_AmsterdamerDMT12_data.txt	-
TODS'37	Leonid Libkin, Pablo Barcelo, Anthony W Lin, Peter T Wood	Expressive Languages for Path Queries over Graph-Structured Data	Theoretical	-	-	-	-	data/tods37_BarceloLLW12_data.txt	-
TODS'37	Gao Cong, Wenfei Fan, Anastasios Kementsietsidis, Jianzhong Li, Xianmin Liu	Partial Evaluation for Distributed XPath Query Processing and Beyond	Practical	-	Email sent	Replied no	-	data/tods37_CongFKLL12_data.txt	-
TODS'37	Alin Deutsch, Elio Damaggio, Victor Vianu	Artifact systems with data dependencies and arithmetic	Theoretical	-	-	-	-	data/tods37_DamaggioDV12_data.txt	-
TODS'37	Leonid Libkin, Claire David, Tony Tan	Efficient reasoning about data trees via integer linear programming	Practical	-	Email sent	Replied yes	Builds	data/tods37_DavidLT12_data.txt	data/tods37_DavidLT12_build.txt
TODS'37	Wenfei Fan, Floris Geerts, Jef Wijsen	Determining the Currency of Data	Theoretical	-	-	-	-	data/tods37_FanGW12_data.txt	-
TODS'37	Goetz Graefe	A survey of B-tree logging and recovery techniques	Theoretical	-	-	-	-	data/tods37_Graefe12_data.txt	-
TODS'37	Harumi Kuno, Goetz Graefe, Hideaki Kimura	Foster b-trees	Practical	-	Email sent	No response	-	data/tods37_GraefeKK12_data.txt	-
TODS'37	Sebastian Link, Sven Hartmann	The implication problem of data dependencies over SQL table definitions: Axiomatic, algorithmic and logical characterizations	Theoretical	-	-	-	-	data/tods37_HartmannL12_data.txt	-
TODS'37	Benny Kimelfeld, Jan Vondrak, Ryan Williams	Maximizing Conjunctive Views in Deletion Propagation	Theoretical	-	-	-	-	data/tods37_KimelfeldVW12_data.txt	-
TODS'37	Daniel Lemire, Owen Kaser, Eduardo Gutarra	Reordering rows for better compression: Beyond the lexicographic order	Practical	Link from paper	Not sent	-	Builds	data/tods37_LemireKG12_data.txt	data/tods37_LemireKG12_build.txt
TODS'37	Boduo Li, Edward Mazur, Yanlei Diao, Andrew Mcgregor, Prashant Shenoy	SCALLA: A Platform for Scalable One-Pass Analytics Using MapReduce	Practical	Link from google	Not sent	-	Builds	data/tods37_LiMDMS12_data.txt	data/tods37_LiMDMS12_build.txt
TODS'37	Yinan Li, Jignesh M Patel, Allison Terrell	WHAM: A High-Throughput Sequence Alignment Method	Practical	Link from google	Not sent	-	Build fails	data/tods37_LiPT12_data.txt	data/tods37_LiPT12_build.txt
TODS'37	Ziyang Liu, Yi Chen	Differentiating search results on structured data	Practical	-	Email sent	No response	-	data/tods37_LiuC12_data.txt	-
TODS'37	Davide Martinenghi, Marco Tagliasacchi	Proximity measures for rank join	Practical	Link from google	Not sent	-	Builds	data/tods37_MartinenghiT12_data.txt	data/tods37_MartinenghiT12_build.txt
TODS'37	Dmitri V Kalashnikov, Rabia Nuray-Turan, Sharad Mehrotra	Exploiting Web querying for Web people search	Practical	Link from google	Not sent	-	Build fails	data/tods37_Nuray-TuranKM12_data.txt	data/tods37_Nuray-TuranKM12_build.txt
TODS'37	Dmitri V Kalashnikov, Rabia Nuray-Turan, Sharad Mehrotra, Yaming Yu	Attribute and object selection queries on objects with probabilistic attributes	Practical	Link from google	Not sent	-	Build fails	data/tods37_Nuray-TuranKMY12_data.txt	data/tods37_Nuray-TuranKMY12_build.txt
TODS'37	Christopher Re, Dan Suciu	Understanding cardinality estimation using entropy maximization	Theoretical	-	-	-	-	data/tods37_ReS12_data.txt	-
TODS'37	Markus Schneider, Tao Chen, Ganesh Viswanathan, Wenjie Yuan	Cardinal directions between complex regions	Theoretical	-	-	-	-	data/tods37_SchneiderCVY12_data.txt	-
TODS'37	Cheng Sheng, Yufei Tao	Worst-Case I/O-Efficient Skyline Algorithms	Theoretical	-	-	-	-	data/tods37_ShengT12_data.txt	-
TODS'37	Yufei Tao, Cheng Sheng, Jianzhong Li	Exact and approximate algorithms for the most connected vertex problem	Practical	-	Email sent	Replied yes	Builds	data/tods37_ShengTL12_data.txt	data/tods37_ShengTL12_build.txt
TODS'37	Tamir Tassa, Ehud Gudes	Secure distributed computation of anonymized views of shared databases	Practical	-	Email sent	Replied no	-	data/tods37_TassaG12_data.txt	-
TODS'37	Junhu Wang, Jeffrey Xu Yu	Revisiting answering tree pattern queries using views	Practical	-	Email sent	Replied no	-	data/tods37_WangY12_data.txt	-
TODS'37	Jef Wijsen	Certain conjunctive query answering in first-order logic	Theoretical	-	-	-	-	data/tods37_Wijsen12_data.txt	-
TODS'37	Cindy Chen, Tian Xia, Donghui Zhang, Zheng Fang, Jie Wang	Online subspace skyline query processing using the compressed skycube	Practical	-	Email sent	No response	-	data/tods37_XiaZFCW12_data.txt	-
TODS'37	Kexin Xie, Ke Deng, Shuo Shang, Xiaofang Zhou, Kai Zheng	Finding Alternative Shortest Paths in Spatial Networks	Practical	-	Email sent	No response	-	data/tods37_XieDSZZ12_data.txt	-
TODS'37	Di Yang, Elke A Rundensteiner, Matthew O Ward	Shared execution strategy for neighbor-based pattern mining requests over streaming windows	Practical	-	Email sent	No response	-	data/tods37_YangRW12_data.txt	-
TODS'37	Wenjie Zhang, Xuemin Lin, Ying Zhang, Muhammad Aamir Cheema, Qing Zhang	Stochastic skylines	Practical	-	Email sent	Replied yes	Builds	data/tods37_ZhangLZCZ12_data.txt	data/tods37_ZhangLZCZ12_build.txt
OSDI'12	Mona Attariyan, Michael Chow, Jason Flinn	X-ray: automating root-cause diagnosis of performance anomalies in production software	Practical	-	Email sent	Replied yes	Builds	data/osdi12_attariyan2012x_data.txt	data/osdi12_attariyan2012x_build.txt
OSDI'12	Adam Belay, Andrea Bittau, Ali Mashtizadeh, David Terei, David Mazieres, Christos Kozyrakis	Dune: safe user-level access to privileged CPU features	Practical	Link from google	Not sent	-	Build fails	data/osdi12_belay2012dune_data.txt	data/osdi12_belay2012dune_build.txt
OSDI'12	Christopher Frost, JJ Furman, Sanjay Ghemawat, Andrey Gubarev, Christopher Heiser, Peter Hochschild, others, James C Corbett, Jeffrey Dean, Michael Epstein, Andrew Fikes	Spanner: Googles globally-distributed database	Practical	-	Email sent	Replied no	-	data/osdi12_corbett2012spanner_data.txt	-
OSDI'12	 Alan M Dunn,  Michael Z Lee,  Suman Jana,  Sangman Kim,  Mark Silberstein,  Yuanzhong Xu,  Vitaly Shmatikov,  Emmett Witchel	Eternal sunshine of the spotless machine: Protecting privacy with ephemeral channels	Practical	-	Email sent	Replied no	-	data/osdi12_dunn2012eternal_data.txt	-
OSDI'12	 J Gonzalez,  Yucheng Low,  Haijie Gu,  Danny Bickson,  Carlos Guestrin	PowerGraph: Distributed graph-parallel computation on natural graphs	Practical	Link from google	Not sent	-	Builds	data/osdi12_gonzalez2012powergraph_data.txt	data/osdi12_gonzalez2012powergraph_build.txt
OSDI'12	Mark S Gordon, D Anoushe Jamshidi, Scott Mahlke, Z Morley Mao, Xu Chen	COMET: code offload by migrating execution transparently	Practical	Link from google	Not sent	-	Builds	data/osdi12_gordon2012comet_data.txt	data/osdi12_gordon2012comet_build.txt
OSDI'12	 Zhenyu Guo,  Xuepeng Fan,  Rishan Chen,  Jiaxing Zhang,  Hucheng Zhou,  Sean McDirmid,  Chang Liu,  Wei Lin,  Jingren Zhou,  Lidong Zhou	Spotting code optimizations in data-parallel pipelines through PeriSCOPE	Practical	-	Email sent	Replied no	-	data/osdi12_guo2012spotting_data.txt	-
OSDI'12	 Sangjin Han,  Scott Marshall,  Byung-Gon Chun,  Sylvia Ratnasamy	Megapipe: a new programming interface for scalable network i/o	Practical	-	Email sent	Replied yes	Builds	data/osdi12_han2012megapipe_data.txt	data/osdi12_han2012megapipe_build.txt
OSDI'12	 Guoliang Jin,  Wei Zhang,  Dongdong Deng,  Ben Liblit,  Shan Lu	Automated concurrency-bug fixing	Practical	-	Not sent	-	-	data/osdi12_jin2012automated_data.txt	-
OSDI'12	 Manos Kapritsos,  Yang Wang,  Vivien Quema,  Allen Clement,  Lorenzo Alvisi,  Mike Dahlin	All about Eve: execute-verify replication for multi-core servers	Practical	-	Not sent	-	-	data/osdi12_kapritsos2012all_data.txt	-
OSDI'12	 Taesoo Kim,  Ramesh Chandra,  Nickolai Zeldovich	Efficient patch-based auditing for web application vulnerabilities	Practical	-	Not sent	-	-	data/osdi12_kim2012efficient_data.txt	-
OSDI'12	Tom Rodeheffer, Indrajit Roy, Patrick Stuedi, Benjamin Wester, Ramakrishna Kotla	Pasture: secure offline data access using commodity trusted hardware	Practical	-	Email sent	Replied no	-	data/osdi12_kotla2012pasture_data.txt	-
OSDI'12	 Aapo Kyrola,  Guy Blelloch,  Carlos Guestrin	GraphChi: Large-scale graph computation on just a PC	Practical	Link from paper	Not sent	-	Builds	data/osdi12_kyrola2012graphchi_data.txt	data/osdi12_kyrola2012graphchi_build.txt
OSDI'12	 Philip Levis	Experiences from a decade of TinyOS development	Practical	Link from paper	Not sent	-	Builds	data/osdi12_levis2012experiences_data.txt	data/osdi12_levis2012experiences_build.txt
OSDI'12	 Cheng Li,  Daniel Porto,  Allen Clement,  Johannes Gehrke,  Nuno Preguica,  Rodrigo Rodrigues	Making geo-replicated systems fast as possible, consistent when necessary	Practical	-	Email sent	Replied no	-	data/osdi12_li2012making_data.txt	-
OSDI'12	 Arjun Narayan,  Andreas Haeberlen	DJoin: differentially private join queries over distributed databases	Practical	-	Not sent	-	-	data/osdi12_narayan2012djoin_data.txt	-
OSDI'12	Edmund B Nightingale, Jeremy Elson, Jinliang Fan, Owen Hofmann, Jon Howell, Yutaka Suzue	Flat datacenter storage	Practical	-	Email sent	Replied no	-	data/osdi12_nightingale2012flat_data.txt	-
OSDI'12	Lenin Ravindranath, Jitendra Padhye, Sharad Agarwal, Ratul Mahajan, Ian Obermiller, Shahin Shayandeh	AppInsight: mobile app performance monitoring in the wild	Practical	-	Email sent	Replied no	-	data/osdi12_ravindranath2012appinsight_data.txt	-
OSDI'12	 Matthew J Renzelmann,  Asim Kadav,  Michael M Swift	SymDrive: testing drivers without devices	Practical	Link from google	Not sent	-	Build fails	data/osdi12_renzelmann2012symdrive_data.txt	data/osdi12_renzelmann2012symdrive_build.txt
OSDI'12	 David Shue,  Michael J Freedman,  Anees Shaikh	Performance isolation and fairness for multi-tenant cloud storage	Practical	-	Not sent	-	-	data/osdi12_shue2012performance_data.txt	-
OSDI'12	Yang Tang, Phillip Ames, Sravan Bhamidipati, Ashish Bijlani, Roxana Geambasu, Nikhil Sarda	CleanOS: Limiting mobile data exposure with idle eviction	Practical	-	Not sent	-	-	data/osdi12_tang2012cleanos_data.txt	-
OSDI'12	 Xi Wang,  Haogang Chen,  Zhihao Jia,  Nickolai Zeldovich,  M Frans Kaashoek	Improving integer security for systems with KINT	Practical	Link from paper	Not sent	-	Build fails	data/osdi12_wang2012improving_data.txt	data/osdi12_wang2012improving_build.txt
OSDI'12	 David Isaac Wolinsky,  Henry Corrigan-Gibbs,  Bryan Ford,  Aaron Johnson	Dissent in numbers: making strong anonymity scale	Practical	Link from paper	Not sent	-	Build fails	data/osdi12_wolinsky2012dissent_data.txt	data/osdi12_wolinsky2012dissent_build.txt
OSDI'12	 Ding Yuan,  Soyeon Park,  Peng Huang,  Yang Liu,  Michael M Lee,  Xiaoming Tang,  Yuanyuan Zhou,  Stefan Savage	Be conservative: enhancing failure diagnosis with proactive logging	Practical	-	Not sent	-	-	data/osdi12_yuan2012conservative_data.txt	-
SIGMOD'12	Ioannis Alagiannis, Renata Borovica, Miguel Branco, Stratos Idreos, Anastasia Ailamaki	NoDB: efficient query execution on raw data files	Practical	-	Email sent	Replied no	-	data/sigmod12_AlagiannisBBIA12_data.txt	-
